helpful_vote,location,fleschsc,numsente,nunwords,nunsylla,meanwsen,meansypw,verb_cnt,noun_cnt,adjc_cnt,advb_cnt,pron_cnt,verb_inc,noun_inc,adjc_inc,advb_inc,pron_inc,location_id,hotel_id
1,RN,31.03,9,121,292,13.44,2.41,24,36,17,9,1,198.35,297.52,140.5,74.38,8.26,303518,1599855
1,RS,45.37,6,40,93,6.67,2.33,11,10,5,1,1,275.0,250.0,125.0,25.0,25.0,303546,2057479
1,RJ,75.25,4,61,114,15.25,1.87,14,15,5,4,3,229.51,245.9,81.97,65.57,49.18,303506,634370
1,DF,35.49,5,43,104,8.6,2.42,8,15,7,2,1,186.05,348.84,162.79,46.51,23.26,303322,307068
0,SP,48.22,11,194,419,17.64,2.16,38,57,18,14,8,195.88,293.81,92.78,72.16,41.24,303631,319937
0,PR,62.61,6,56,117,9.33,2.09,12,11,11,6,1,214.29,196.43,196.43,107.14,17.86,303441,634384
0,MG,61.07,3,29,61,9.67,2.1,5,6,5,4,2,172.41,206.9,172.41,137.93,68.97,303374,2339751
3,RN,52.7,3,49,104,16.33,2.12,7,15,10,4,0,142.86,306.12,204.08,81.63,0.0,303518,614484
0,SP,49.94,4,86,180,21.5,2.09,19,19,10,7,5,220.93,220.93,116.28,81.4,58.14,303631,2692260
0,PR,42.3,2,18,42,9.0,2.33,3,5,3,3,0,166.67,277.78,166.67,166.67,0.0,303441,299406
1,SP,47.49,3,50,109,16.67,2.18,11,14,6,1,3,220.0,280.0,120.0,20.0,60.0,303631,2510543
0,CE,53.29,3,35,76,11.67,2.17,6,12,2,2,1,171.43,342.86,57.14,57.14,28.57,303293,501231
0,PR,59.08,2,29,60,14.5,2.07,5,10,3,1,1,172.41,344.83,103.45,34.48,34.48,303441,501230
1,RJ,62.07,14,287,563,20.5,1.96,72,56,14,29,23,250.87,195.12,48.78,101.05,80.14,303506,4191499
3,RN,35.22,7,93,220,13.29,2.37,23,37,7,3,2,247.31,397.85,75.27,32.26,21.51,303518,591573
1,RN,62.1,3,39,80,13.0,2.05,9,9,3,6,3,230.77,230.77,76.92,153.85,76.92,303518,3591223
0,AM,32.75,3,41,98,13.67,2.39,13,10,2,5,1,317.07,243.9,48.78,121.95,24.39,303235,312548
0,SP,62.89,4,66,132,16.5,2.0,14,14,6,8,6,212.12,212.12,90.91,121.21,90.91,303631,307523
0,CE,54.75,10,118,254,11.8,2.15,32,26,10,14,2,271.19,220.34,84.75,118.64,16.95,303293,4510396
3,RJ,63.36,4,84,163,21.0,1.94,21,18,8,8,9,250.0,214.29,95.24,95.24,107.14,303506,316761
0,CE,13.79,4,15,41,3.75,2.73,2,6,3,0,0,133.33,400.0,200.0,0.0,0.0,303293,307467
0,PE,50.82,5,77,166,15.4,2.16,10,20,11,9,4,129.87,259.74,142.86,116.88,51.95,304560,1480329
1,CE,70.15,9,74,149,8.22,2.01,16,18,11,5,3,216.22,243.24,148.65,67.57,40.54,303293,307215
0,RJ,50.89,7,77,170,11.0,2.21,12,21,11,5,2,155.84,272.73,142.86,64.94,25.97,303506,305728
1,BA,57.31,7,51,111,7.29,2.18,11,17,10,2,1,215.69,333.33,196.08,39.22,19.61,303272,1185704
0,RJ,55.2,6,99,207,16.5,2.09,15,29,10,5,3,151.52,292.93,101.01,50.51,30.3,303506,3948405
0,SP,9.11,3,31,84,10.33,2.71,2,10,8,0,0,64.52,322.58,258.06,0.0,0.0,303631,302706
0,PE,51.07,3,59,124,19.67,2.1,16,12,0,7,5,271.19,203.39,0.0,118.64,84.75,304560,508170
0,RJ,17.19,4,31,82,7.75,2.65,4,11,5,3,1,129.03,354.84,161.29,96.77,32.26,303506,794726
0,SP,67.25,12,159,316,13.25,1.99,34,43,12,11,2,213.84,270.44,75.47,69.18,12.58,303631,1460655
2,RN,44.11,3,30,69,10.0,2.3,10,5,2,2,3,333.33,166.67,66.67,66.67,100.0,303518,1185167
1,SP,71.3,4,41,81,10.25,1.98,7,14,3,1,0,170.73,341.46,73.17,24.39,0.0,303631,4510508
4,PE,45.5,4,81,175,20.25,2.16,21,23,9,5,1,259.26,283.95,111.11,61.73,12.35,304560,1020095
0,SP,76.37,5,38,74,7.6,1.95,9,7,1,9,3,236.84,184.21,26.32,236.84,78.95,303631,1626228
0,SP,43.15,4,43,99,10.75,2.3,8,15,3,1,2,186.05,348.84,69.77,23.26,46.51,303631,506400
0,RJ,66.76,8,86,174,10.75,2.02,21,28,6,7,2,244.19,325.58,69.77,81.4,23.26,303506,305738
2,RN,60.94,5,40,85,8.0,2.13,10,14,5,4,1,250.0,350.0,125.0,100.0,25.0,303518,1185167
1,RJ,76.04,6,44,86,7.33,1.95,11,12,3,3,2,250.0,272.73,68.18,68.18,45.45,303506,305728
0,RN,53.25,2,29,62,14.5,2.14,6,9,5,1,1,206.9,310.34,172.41,34.48,34.48,303518,2515407
